Culture.code	SCCS
FE12	19
MP05	37
AZ02	79
OI08	91
SF05	172
FO07	28	
FQ05	7
NF06	140
AO07	76
RY02	121
OR19	109
ND08	124
FA16	24
OG11	87
FK07	12
AR05	69
SM04	181
MS12	26
ES10	51
NT09	149
OC06	85
OA19	112
NM09	125
MS14	16
OJ29	94
NR10	138
SC07	NA
AA01	116
SB05	158
MA11	57
OQ06	102
MT09	NA
FQ09	4
FL12	34
SI07	182
FO04	13
NG06	127
EP04	52
AW42	62
SR15	165
EF06	48
MW11	42
AX04	NA
MO04	36
AD05	113
NU33	152
OT11	100
FF57	16
NA12	132
OL06	98
SQ19	167
NV09	154
MS30	21
RV02	120
AR07	NA
SH04	NA
SP08	NA
NQ18	142
SQ18	163

