Society_name_EA,Family,latitude,longitude,Moralizing.bin,AnimHusbandry,Agriculture,JurLevelGlobal,Stability,Abundance
Murinbata,Daly,-14,130,0,0,0,0,0.58139709,-0.453904659
Mambwe,Niger-Congo,9,32,0,1,1,1,1.161582436,-0.624002095
Hatsa Kindiga,Hatsa,-3,35,0,0,0,0,0.509520772,0.46779961
Kung  ,Southern_Africa,-20,21,0,0,0,0,0.615916528,-0.875670433
Nama,Southern_Africa,-26,18,0,1,0,1,0.358376655,-1.534503597
Naron,Southern_Africa,-20,24,0,0,0,0,0.500490198,-0.607852562
Sandawe,Sandawe,-5,36,0,1,1,1,0.586401293,0.448518584
Bassari,Niger-Congo,12,-13,0,1,1,1,1.337857511,-0.196149866
Coniagui,Niger-Congo,13,-13,0,1,1,1,1.347970043,-0.396396628
Buye,Niger-Congo,-7,28,0,1,1,2,1.39817731,0.073367312
Sherbro,Niger-Congo,7.9,-12.8,0,1,1,2,0.26066232,1.299768669
Tukulor,Niger-Congo,14.75,-14.25,1,1,1,1,1.724530141,-1.433046608
Wodaabe Fulani,Niger-Congo,12,12,1,1,0,1,1.543461127,-1.01243883
Amba,Niger-Congo,1,30,0,1,1,0,0.761528125,1.014335897
Anaguta,Niger-Congo,10,9,0,1,1,0,0.935652492,0.078097124
Babwa,Niger-Congo,3,25,0,1,1,2,1.173346148,0.650169747
Bamum,Niger-Congo,6,11,0,1,1,3,0.456166893,0.845885105
Banen,Niger-Congo,5,11,0,1,1,0,0.276460406,1.317357569
Basa,Niger-Congo,8,8,0,1,1,1,1.01660947,-0.014065445
Bemba,Niger-Congo,-11,31,0,1,1,2,0.559056447,0.626111214
Bena,Niger-Congo,-9,36,1,1,1,2,0.360515499,0.757605078
Birom,Niger-Congo,10,9,0,1,1,1,0.935652492,0.078097124
Chagga,Niger-Congo,-3,37,0,1,1,1,-0.029806358,1.161949917
Chawai,Niger-Congo,10,9,0,1,1,1,0.935652492,0.078097124
Chewa,Niger-Congo,-14,33,0,1,1,2,0.186037468,0.52960696
Chiga,Niger-Congo,-3,30,0,1,1,0,0.706058898,0.629092501
Dakakari,Niger-Congo,12,5,0,1,1,0,1.262994479,-0.690848127
Digo,Niger-Congo,-4,39,1,1,1,1,0.493220887,0.644450444
Duala,Niger-Congo,4,10,0,1,1,2,0.766341325,1.210843525
Efik,Niger-Congo,5,8,0,1,1,1,0.197626732,1.283835788
Fang,Niger-Congo,1,11,0,1,1,0,0.561557973,1.179696254
Fipa,Niger-Congo,-8,31,0,1,1,2,0.449020925,0.331302178
Ganda,Niger-Congo,1,32,0,1,1,3,0.733989279,0.640186548
Giriama,Niger-Congo,-3,40,0,1,1,3,0.33996971,0.518173202
Gisu,Niger-Congo,1,34,0,1,1,1,0.414387955,0.784884776
Gure,Niger-Congo,10,8,0,1,1,0,1.049130907,0.022863755
Ha,Niger-Congo,-5,30,0,1,1,2,0.676943349,0.414337856
Haya,Niger-Congo,-1.15,31.73,0,1,1,2,0.509218406,1.027949621
Ibibio,Niger-Congo,5,8,0,1,1,1,0.197626732,1.283835788
Ila,Niger-Congo,-16,27,0,1,1,1,0.55244825,0.021462657
Iwa,Niger-Congo,-10,32,0,1,1,2,0.787557804,0.493869726
Kadara,Niger-Congo,10,8,0,1,1,1,1.049130907,0.022863755
Kagoro,Niger-Congo,10,8,0,1,1,1,1.049130907,0.022863755
Kaguru,Niger-Congo,-6,37,0,1,1,1,0.262189116,0.762613168
Kamba,Niger-Congo,-2,38,0,1,1,1,0.563918175,0.309949128
Katab,Niger-Congo,10,8,0,1,1,0,1.049130907,0.022863755
Kikuyu,Niger-Congo,-1,37,0,1,1,0,0.19980734,0.779706868
Konjo,Niger-Congo,-1,30,0,1,1,0,0.63111682,0.859511396
