"citation_id","citation"
"cite0001","Seligman, C. G. (Charles Gabriel), and Brenda Z. (Salaman) Seligman. 1932. “The Azande.” In Pagan Tribes of the Nilotic Sudan, 495–539. London: George Routledge and Sons, Ltd."
"cite0002","Baxter, P. T. W., and Audrey Butt. 1953. “The Azande, and Related Peoples of the Anglo-Egyptian Sudan and Belgian Congo.” In Ethnographic Survey of Africa, East Central Africa, x, 152. London: International African Institute."
"cite0003","Evans-Pritchard, E. E. (Edward Evan). 1937. Witchcraft, Oracles and Magic among the Azande. Oxford: Clarendon Press."
"cite0004","Levine, Donald Nathan. 1965. Wax & Gold: Tradition and Innovation in Ethiopian Culture. Chicago: University of Chicago Press."
"cite0005","Messing, Simon D. (Simon David), and Ian A. Skoggard. 1998. “Culture Summary: Amhara.” New Haven, Conn.: HRAF."
"cite0006","Messing, Simon D. (Simon David), and M. Lionel (Marvin Lionel) Bender. 1985. “Highland Plateau Amhara of Ethiopia.” In Ethnography Series, 3 v. (xvii, 502 leaves). New Haven, Conn.: Human Relations Area Files."
"cite0007","Reminick, Ronald A. 1975. “The Structure and Functions of Religious Belief among the Amhara of Ethiopia.” In Proceedings of the First United States Conference on Ethiopian Studies, Michigan State University, 2-5 May, 1973, 25–42. East Lansing: African Studies Center, Michigan State University."
"cite0008","Young, Allan Louis. 1975. “Magic as a ‘Quasi-Profession’: The Organization of Magic and Magical Healing among Amhara.” Ethnology Vol. 14 (no. 3): 245–65."
"cite0009","Young, Allan Louis. 1972. Medical Beliefs and Practices of Begemder Amhara. Ann Arbor, Michigan: University Microfilms."
"cite0010","Kagwa Sir, Apolo, and M. S. M. Semakula Kiwanuka. 1971. “The Kings of Buganda.” In Historical Texts of Eastern and Central Africa, xlviii, 256. Nairobi: East African Pub. House."
"cite0011","Roscoe, John. 1911. The Baganda: An Account of Their Native Customs and Beliefs. London: Macmillan and Co."
"cite0012","Mair, Lucy Philip. 1934. An African People in the Twentieth Century. London: Routledge & Sons."
"cite0013","Orley, John H. 1970. “Culture and Mental Illness: A Study from Uganda.” In East African Studies, 82. Nairobi: Published for the Makerere Institute of Social Research [by] East African Pub. House."
"cite0014","Leakey, L. S. B. (Louis Seymour Bazett). 1930. “Some Notes on the Masai of Kenya Colony.” Journal of the Royal Anthropological Institute of Great Britian and Ireland Vol. 60: 185–209."
"cite0015","Spencer, Paul. 1988. “The Maasai of Matapato: A Study of Rituals of Rebellion.” In International African Library, [xiv], [297]. Bloomington, Ind.: Indiana University Press."
"cite0016","Cassanelli, Lee V. 1982. “The Shaping of Somali Society: Reconstructing the History of a Pastoral People, 1600-1900.” In Ethnohistory, xvi, 311. Philadelphia: University of Pennsylvania Press."
