textid citation_id culture_id paragraph
t0287 cite0001 FO07 "The Azande believe that whatever the mode of death the real cause is witchcraft ( mangu) or magic, and that the spirit remains near the tomb until the duty of taking vengeance has been performed. Benge is consulted, and indicates who among the relatives shall observe the mourning taboos. It is again consulted, theoretically, in order to discover whether the death was due to witchcraft (black magic) or was the result of the dead man’s own misdeeds. If the latter it signifies that he was himself the culprit, in that owing to some malpractice—adultery, theft, or black magic of his own performance—he has fallen the victim of someone else’s protective magic, lawfully used: has in fact been killed by his own misdeeds. But frequently it is found that the death is due to the black magic of some envious person, and then vengeance is a duty. The person selected as avenger is given likipwo; this consists of some bark cloth worn by the dead man, together with nail-parings, hair, and sometimes in the old days a joint of the little finger. The avenger calls in someone with knowledge of the magic of death, really an expert, who may have learnt the magic from his father or even bought it. This man takes the likipwo, burns it, and places the ashes in the mouth of a magic whistle, which he blows, uttering a spell against the murderer. The whistle and some bagbuduma medicine are then hidden in the bark of a tree. The avenger is also given a magic whistle to blow and utter spells over by the medicine man, to whom he pays a spear for his services."
t0288 cite0001 FO07 "The avenger, now subject to many taboos, awaits the effect of the magic. Someone is sure to die in the vicinity within the next few weeks and the relatives will consult benge to determine whether this death is the result of their magic. If the reply is in the negative the avenger must suffer his taboos until someone else dies and an affirmative answer is given. When the victim of the magic is dead the medicine-man is again summoned in order that he may provide an antidote to the magic, which may otherwise fall upon the avenger and kill him also. The relatives eat the antidote and make over to the expert valuable presents, including several spears, also providing him with food and drink. The latter goes to the bush, takes the magic from the tree, and casts it into water to destroy its power."
t0289 cite0002 FO07 "At times an affliction may be seen as resulting from a previous social situation of the afflicted person—for instance, a wrong done by him to another—and it is concluded that the aggrieved party is using magic against him and will have to be sought out and asked to desist. If a man who is working vengeance magic for the death of a kinsman falls ill, his relatives will conclude that he has broken one of the taboos necessitated by his position and that his magic has turned back upon him. 38"
t0289 cite0002 FO07 "38 Ibid, p. 507. The relatives of the sick man will pay the specialist who has made the magic on his behalf to destroy its potency."
t0289 cite0002 FO07 "Illness may also be attributed to seeing cats—in which case a witch-doctor specializing in anti-cat magic is called upon."
t0290 cite0003 FO07 "Many people say that the great majority of witch-doctors are liars whose sole concern is to acquire wealth. I found that it was quite a normal belief among Azande that many of the practitioners are charlatans who make up any reply which they think will please their questioner, and whose sole inspiration is love of gain. It is indeed probable that Zande faith in their witch-doctors has declined since European conquest of their country, on account of the large increase in membership of the corporation. In the old days only two or three men in a province used to function as witch-doctors, whereas to-day they number scores. I have noticed again and again in other departments of Zande magic that faith tends to lessen as ownership spreads. To-day a witch-doctor has little scruple about teaching as many pupils as he can obtain and charging them ridiculously small fees in comparison with old-time standards. Moreover, the same risk does not now attach to the profession as used to be the case, when an error of judgement might entail serious consequences. In the general cultural disequilibrium due to the social changes consequent on conquests and administration, belief in magic and witchcraft has ceased to function adequately, and witch-doctorhood tends to become more a pastime than a serious profession. Nevertheless, there are many evidences which show [Page 184] decisively that scepticism is not a new phenomenon. There is, moreover, no question of direct Caucasian influence here because such influence is very slight among those Azande with whom I was best acquainted. Also old men who are entirely free from such influence have expressed to me the same scepticism about witch-doctors. Thus my old friend Ongosi used to tell me that most of what the witch-doctors told their audiences was just bera, just ‘supposition’: they think out what is the most likely cause of any trouble and put it forward, in the guise of an inspired oracle, as a likely guess, but it is not sangba ngua, the words of medicine, i.e. it is not derived from the medicines which they have eaten."
t0291 cite0003 FO07 "I particularly do not wish to give the impression that there is any one who disbelieves in witch-doctorhood. Most of my acquaintances believed that there are a few entirely reliable practitioners, but that the majority are quacks. Hence in the case of any particular witch-doctor they are never quite certain whether reliance can be placed on his statements or not. They know that some witch-doctors lie and that others tell the truth, but they cannot at once tell from his behaviour into which category any witch-doctor falls. They reserve judgement, and temper faith with scepticism."
t0292 cite0003 FO07 "It is evident that only a people imbued with a measure of scepticism could treat diviners in this manner. Only a people who understand that much of the power claimed by diviners is nothing but shrewd guess-work, coupled with professional dogmatism, could thus mock them. Yet Mbira believed firmly in every kind of magic, was, in fact, himself a magician of standing, and believed, moreover, in the particular kind of magic which gives prophetic powers to witch-doctors. When he was in trouble he summoned practitioners to his homestead and listened with respect to their words. He was convinced that [Page 187] some witch-doctors were genuine and could tell you their names. These genuine practitioners might make mistakes, but they possessed excellent medicines which gave them real prophetic powers, and, above all, they possessed mangu (witchcraft-substance). He believed that only those practitioners who are themselves witches can observe and control witchcraft. Only through Beelzebub can you cast out devils. This point of view is shown clearly in the text which I have recorded above."
t0293 cite0003 FO07 "I was some twenty months in Zandeland and was constantly associated with every kind of sickness. At one time I spent about two hours every morning dressing sores, but eventually I gave up this practice when I found that it took too much of my time. Major Larken supplied our settlement with a dresser who took my place. When, therefore, I generalize about Zande notions of disease, I do so on a fairly wide experience. I have invariably found that when a Zande is struck down by general and acute sickness, with sudden and severe symptoms and rapid course, as in certain types of fever, pneumonia, cerebrospinal meningitis, influenza, &c., his relatives and neighbours straightway connect his collapse with the primary cause of witchcraft or sorcery, almost always in cases of sudden collapse with sorcery. They do not say that the sick man is suffering from such-and-such an illness and that this illness is due to sorcery. The illness itself is diagnosed as bad magic—they say, when they see the symptoms, ‘It is kitikiti ngua,’ ‘It is sorcery.’ They immediately apply to a man who knows the antidote to the particular sorcery and ask him to administer it to the sick person. In the same manner it sometimes happens that a man thinks he has seen evil-bringing adandara cats in the bush, and if he falls suddenly sick within the next two or three weeks he [Page 507] will know that his sickness is due to their influence and ultimately to the woman who placed them in his path. The sickness, in fact, proves that he really did see adandara and that he did not imagine that he had seen them or mistaken some other cats for them. His relatives send for a specialist who knows the antidote to adandara if they do not know it themselves. Here again they may not name the sickness at all but simply say, ‘It is adandara’ (see Part I, Chapter III)."
t0294 cite0004 MP05 "The dabtara, thanks to his knowledge of books and the lore acquired sub rosa while attending the church schools, wields many more powers than does the [unknown]tanquay . He can write amulets to keep away sickness and evil spirits. He knows formulas that can protect one from bullets and instill insatiable passion in the breast of one’s beloved. He has the power to bring rain or make it stop, and to plague the householder by turning all of his possessions against him. Like the [unknown]tanquay, his expert knowledge of plants and herbs can heal the sick or poison the client’s enemy. His superiority over the [unknown]tanquay is shown by the different manner in which he arranges a divination: he consults his heavy books, brews and interprets leaves, and then writes out his predictions on paper. For all this the dabtara’s fees are usually higher, but his status is perhaps more precarious, for he is after all a man of the church. The peasant feels none too easy in dealing with one who both serves the church and deals with devils."
